,nome_candidato,uf,partido,estrelas_legisla_int,tempo_mandato,em_exercicio,tipo,gasto_gabinete,producao_legislativa,fiscalizacao,mobilizaca,alinhamento_partidario
0,Abílio Santana,BA,PSC,2,3,Não,TITULAR,179610.31,1.7,0.0,0.9,9.1
1,Abou Anni,SP,UNIÃO,3,3,Sim,TITULAR,230812.22,3.8,0.9,2.4,6.4
2,Acácio Favacho,AP,MDB,2,3,Sim,TITULAR,184110.41,2.6,0.2,2.1,6.4
3,Adolfo Viana,BA,PSDB,2,3,Sim,TITULAR,205381.50,2.8,0.9,2.4,5.5
4,Adriana Ventura,SP,NOVO,5,3,Sim,TITULAR,15501.49,6.4,2.9,7.3,10.0
5,Adriano do Baldy,GO,PP,2,3,Sim,TITULAR,186091.77,2.3,0.0,2.1,10.0
6,Aécio Neves,MG,PSDB,2,3,Sim,TITULAR,146298.86,2.4,0.0,2.1,7.3
7,Aelton Freitas,MG,PP,2,1,Sim,SUPLENTE,216187.99,1.6,0.7,0.9,9.1
8,Afonso Florence,BA,PT,4,3,Sim,TITULAR,203593.87,4.8,2.7,4.8,9.1
9,Afonso Hamm,RS,PP,2,3,Sim,TITULAR,197969.17,2.2,1.6,3.3,7.3
10,Afonso Motta,RS,PDT,3,3,Sim,TITULAR,232251.35,3.5,1.3,3.0,5.5
11,Aguinaldo Ribeiro,PB,PP,2,3,Não,TITULAR,170918.71,1.5,0.9,1.2,7.3
12,Airton Faleiro,PA,PT,4,3,Sim,TITULAR,210965.15,4.7,3.5,6.1,7.3
13,AJ Albuquerque,CE,PP,2,3,Sim,TITULAR,212343.51,2.3,0.2,2.4,10.0
14,Alan Rick,AC,UNIÃO,3,3,Não,TITULAR,212597.96,3.3,2.7,2.4,5.5
15,Alceu Moreira,RS,MDB,3,3,Sim,TITULAR,193008.11,3.3,2.4,2.1,7.3
16,Alcides Rodrigues,GO,PATRIOTA,2,3,Sim,TITULAR,235547.08,1.6,0.4,2.1,8.2
17,Alê Silva,MG,REPUBLICANOS,4,3,Sim,TITULAR,191824.29,5.7,1.5,3.6,7.3
18,Alessandro Molon,RJ,PSB,5,3,Sim,TITULAR,146003.64,6.0,5.6,5.2,7.3
19,Alex Manente,SP,CIDADANIA,3,3,Sim,TITULAR,91913.98,3.2,2.4,3.0,8.2
